Возраст;Субъект;Пол;Тип;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
10-14 лет;Российская Федерация;Женщины;городское население;0,27;0,31;0,31;0,33;0,32;0,35;0,29;0,25;0,29;0,28;0,28;0,3;0,31;0,29;0,29;0,26;0,24;0,24;0,22;0,24;0,24;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
10-14 лет;Российская Федерация;Женщины;сельское население;0,34;0,4;0,38;0,45;0,42;0,43;0,44;0,36;0,39;0,37;0,35;0,4;0,36;0,36;0,38;0,34;0,32;0,34;0,29;0,34;0,3;0,3;0,3;0,3;0,3;0,2;0,3;0,2;0,2;0,2;0,2;0,2
10-14 лет;Российская Федерация;Мужчины;все население;0,59;0,69;0,66;0,7;0,65;0,67;0,58;0,58;0,55;0,61;0,58;0,6;0,57;0,56;0,57;0,52;0,47;0,48;0,41;0,41;0,39;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3
10-14 лет;Российская Федерация;Мужчины;городское население;0,56;0,63;0,61;0,65;0,6;0,62;0,53;0,51;0,49;0,54;0,52;0,55;0,53;0,51;0,51;0,46;0,4;0,42;0,38;0,36;0,34;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,3
10-14 лет;Российская Федерация;Мужчины;сельское население;0,67;0,82;0,78;0,81;0,8;0,8;0,71;0,75;0,7;0,78;0,72;0,71;0,65;0,69;0,69;0,66;0,61;0,62;0,49;0,52;0,49;0,5;0,4;0,5;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3
10-14 лет;Российская Федерация;Оба пола;все население;0,44;0,51;0,5;0,53;0,5;0,52;0,46;0,43;0,44;0,46;0,44;0,47;0,45;0,44;0,44;0,41;0,37;0,38;0,33;0,34;0,32;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2
10-14 лет;Российская Федерация;Оба пола;городское население;0,42;0,47;0,46;0,49;0,46;0,49;0,41;0,38;0,39;0,41;0,4;0,43;0,42;0,4;0,4;0,36;0,32;0,33;0,3;0,3;0,29;0,3;0,3;0,2;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2
10-14 лет;Российская Федерация;Оба пола;сельское население;0,51;0,61;0,59;0,63;0,61;0,62;0,58;0,56;0,55;0,58;0,54;0,56;0,51;0,53;0,54;0,5;0,47;0,49;0,39;0,43;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,3
15-19 лет;Российская Федерация;Женщины;все население;0,63;0,66;0,72;0,79;0,82;0,85;0,81;0,75;0,79;0,8;0,8;0,75;0,71;0,69;0,68;0,68;0,63;0,64;0,6;0,58;0,53;0,5;0,5;0,4;0,5;0,4;0,4;0,4;0,4;0,4;0,4;0,4
15-19 лет;Российская Федерация;Женщины;городское население;0,56;0,59;0,65;0,73;0,78;0,79;0,73;0,67;0,71;0,73;0,74;0,67;0,62;0,61;0,61;0,6;0,55;0,55;0,5;0,48;0,43;0,4;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,4
15-19 лет;Российская Федерация;Женщины;сельское население;0,89;0,9;0,94;1;0,94;1,02;1,05;0,98;1,03;1,01;1;1,01;1;0,93;0,87;0,92;0,83;0,89;0,88;0,85;0,8;0,8;0,7;0,7;0,6;0,6;0,5;0,5;0,5;0,4;0,4;0,5
15-19 лет;Российская Федерация;Мужчины;все население;1,62;1,67;1,81;2,14;2,16;2,43;2,16;1,88;1,88;1,99;2,12;1,92;1,83;1,74;1,69;1,63;1,57;1,49;1,45;1,29;1,19;1,2;1,1;1,1;1,1;1;0,9;0,9;0,8;0,8;0,8;0,8
15-19 лет;Российская Федерация;Мужчины;городское население;1,49;1,55;1,74;2,05;2,06;2,33;2,02;1,76;1,75;1,81;1,9;1,72;1,6;1,53;1,48;1,43;1,35;1,25;1,21;1,07;0,95;0,9;0,9;0,9;0,9;0,8;0,7;0,8;0,7;0,7;0,7;0,7
15-19 лет;Российская Федерация;Мужчины;сельское население;2,02;2,01;2,02;2,38;2,45;2,7;2,56;2,22;2,27;2,53;2,82;2,54;2,51;2,32;2,23;2,15;2,14;2,11;2,08;1,9;1,82;1,8;1,6;1,5;1,4;1,3;1,2;1,2;1,1;1;1;1
15-19 лет;Российская Федерация;Оба пола;все население;1,13;1,17;1,27;1,47;1,5;1,65;1,49;1,32;1,35;1,4;1,47;1,34;1,28;1,22;1,19;1,16;1,11;1,07;1,03;0,94;0,86;0,8;0,8;0,8;0,8;0,7;0,7;0,6;0,6;0,6;0,6;0,6
15-19 лет;Российская Федерация;Оба пола;городское население;1,02;1,07;1,19;1,39;1,41;1,56;1,37;1,22;1,24;1,28;1,32;1,2;1,11;1,07;1,04;1,01;0,95;0,9;0,85;0,77;0,69;0,7;0,7;0,7;0,7;0,6;0,6;0,6;0,5;0,5;0,5;0,6
15-19 лет;Российская Федерация;Оба пола;сельское население;1,51;1,5;1,51;1,72;1,73;1,9;1,84;1,63;1,68;1,79;1,94;1,8;1,79;1,66;1,58;1,55;1,5;1,51;1,5;1,39;1,33;1,3;1,2;1,1;1,1;1;0,9;0,8;0,8;0,7;0,7;0,7
20-24 лет;Российская Федерация;Женщины;все население;0,71;0,74;0,84;0,98;1,01;1,04;0,99;0,99;1;1,12;1,13;1,12;1,05;1,05;1,01;1,04;0,96;0,92;0,85;0,8;0,78;0,7;0,7;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;0,5
20-24 лет;Российская Федерация;Женщины;городское население;0,65;0,67;0,79;0,91;0,97;0,99;0,92;0,94;0,94;1,06;1,09;1,06;0,98;0,96;0,93;0,96;0,88;0,84;0,76;0,72;0,69;0,7;0,6;0,6;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
20-24 лет;Российская Федерация;Женщины;сельское население;0,93;0,96;1;1,21;1,15;1,21;1,2;1,17;1,2;1,33;1,26;1,33;1,31;1,35;1,3;1,32;1,25;1,19;1,1;1,06;1,05;1;1;1;0,9;0,9;0,7;0,6;0,5;0,5;0,5;0,6
20-24 лет;Российская Федерация;Мужчины;все население;2,61;2,74;3,2;3,83;4,12;4,37;4,19;3,88;4,04;4,49;4,95;4,35;3,96;3,92;3,96;3,88;3,55;3,31;3;2,69;2,55;2,4;2,4;2,3;2,2;1,9;1,7;1,5;1,4;1,4;1,4;1,5
20-24 лет;Российская Федерация;Мужчины;городское население;2,17;2,32;2,81;3,41;3,69;4,06;3,82;3,54;3,78;4,26;4,75;4,04;3,57;3,49;3,58;3,53;3,24;2,96;2,65;2,31;2,18;2,1;2;1,9;1,9;1,6;1,5;1,4;1,3;1,3;1,4;1,4
20-24 лет;Российская Федерация;Мужчины;сельское население;4;4,11;4,5;5,25;5,55;5,4;5,37;4,95;4,88;5,22;5,57;5,36;5,25;5,34;5,21;5,02;4,48;4,31;4,04;3,77;3,6;3,4;3,5;3,4;3,2;2,8;2,4;2,1;1,9;1,8;1,6;1,7
20-24 лет;Российская Федерация;Оба пола;все население;1,68;1,76;2,05;2,44;2,6;2,73;2,61;2,45;2,53;2,81;3,05;2,74;2,51;2,49;2,49;2,47;2,26;2,12;1,93;1,75;1,67;1,6;1,5;1,5;1,4;1,3;1,1;1;1;0,9;1;1
20-24 лет;Российская Федерация;Оба пола;городское население;1,43;1,52;1,82;2,19;2,35;2,54;2,38;2,24;2,36;2,65;2,91;2,54;2,27;2,23;2,25;2,24;2,05;1,9;1,7;1,51;1,44;1,4;1,3;1,2;1,2;1,1;1;0,9;0,9;0,9;0,9;1
20-24 лет;Российская Федерация;Оба пола;сельское население;2,52;2,58;2,8;3,31;3,45;3,4;3,38;3,14;3,12;3,36;3,51;3,42;3,35;3,4;3,31;3,22;2,92;2,8;2,62;2,47;2,39;2,3;2,3;2,3;2,2;1,9;1,6;1,4;1,2;1,2;1,1;1,1
25-29 лет;Российская Федерация;Женщины;все население;0,77;0,86;0,97;1,17;1,26;1,27;1,21;1,15;1,18;1,25;1,34;1,36;1,41;1,51;1,56;1,61;1,54;1,48;1,43;1,34;1,3;1,2;1,1;1,1;1,1;1;0,9;0,8;0,8;0,7;0,7;0,8
25-29 лет;Российская Федерация;Женщины;городское население;0,73;0,81;0,92;1,13;1,23;1,26;1,17;1,09;1,13;1,22;1,32;1,32;1,36;1,44;1,48;1,54;1,47;1,4;1,36;1,27;1,24;1,2;1;1;1;0,9;0,8;0,7;0,7;0,6;0,7;0,7
25-29 лет;Российская Федерация;Женщины;сельское население;0,92;1,03;1,11;1,31;1,38;1,34;1,33;1,35;1,31;1,38;1,42;1,51;1,58;1,75;1,84;1,86;1,76;1,76;1,67;1,6;1,52;1,5;1,4;1,3;1,3;1,2;1,2;1,1;1,1;1;1;1
25-29 лет;Российская Федерация;Мужчины;все население;3,31;3,55;4,22;5,19;5,59;5,55;5,09;4,63;4,71;5,27;5,99;5,81;5,66;5,91;6,12;6,46;6,18;5,69;5,2;4,71;4,49;4,1;3,8;3,6;3,5;3,1;2,7;2,4;2,2;2;2,1;2,2
25-29 лет;Российская Федерация;Мужчины;городское население;2,98;3,18;3,89;4,86;5,25;5,24;4,71;4,27;4,4;4,97;5,79;5,59;5,36;5,61;5,85;6,23;5,96;5,43;4,97;4,39;4,18;3,8;3,6;3,4;3,3;2,9;2,5;2,2;2;1,8;1,9;2
25-29 лет;Российская Федерация;Мужчины;сельское население;4,24;4,61;5,12;6,1;6,57;6,48;6,28;5,81;5,71;6,27;6,67;6,54;6,66;6,91;7;7,21;6,86;6,52;5,94;5,71;5,48;4,8;4,5;4,4;4,2;3,9;3,5;3,2;2,9;2,7;2,7;2,5
25-29 лет;Российская Федерация;Оба пола;все население;2,06;2,22;2,61;3,19;3,44;3,44;3,18;2,92;2,97;3,29;3,68;3,59;3,54;3,71;3,83;4,03;3,85;3,58;3,32;3,03;2,9;2,7;2,5;2,4;2,3;2;1,8;1,6;1,5;1,4;1,4;1,5
25-29 лет;Российская Федерация;Оба пола;городское население;1,85;1,99;2,4;2,98;3,23;3,27;2,97;2,7;2,79;3,11;3,56;3,44;3,35;3,5;3,63;3,85;3,69;3,39;3,15;2,82;2,7;2,5;2,3;2,2;2,1;1,9;1,7;1,4;1,3;1,2;1,3;1,4
25-29 лет;Российская Федерация;Оба пола;сельское население;2,67;2,92;3,21;3,8;4,05;3,96;3,85;3,63;3,57;3,89;4,12;4,08;4,17;4,38;4,47;4,6;4,37;4,2;3,87;3,72;3,57;3,2;3;2,9;2,9;2,6;2,4;2,2;2,1;1,9;1,9;1,9
30-34 лет;Российская Федерация;Женщины;все население;1,05;1,11;1,26;1,59;1,78;1,76;1,57;1,48;1,45;1,63;1,73;1,81;1,94;2,05;2,12;2,2;2,04;2;1,95;1,91;1,93;1,9;1,8;1,8;1,8;1,7;1,6;1,4;1,3;1,2;1,3;1,4
30-34 лет;Российская Федерация;Женщины;городское население;0,98;1,03;1,2;1,52;1,72;1,75;1,52;1,4;1,4;1,6;1,7;1,8;1,92;2;2,08;2,12;1,97;1,9;1,86;1,81;1,82;1,8;1,7;1,7;1,7;1,6;1,5;1,3;1,2;1,1;1,2;1,3
30-34 лет;Российская Федерация;Женщины;сельское население;1,29;1,38;1,45;1,79;1,94;1,8;1,73;1,71;1,6;1,72;1,82;1,87;2,01;2,21;2,27;2,45;2,28;2,32;2,27;2,24;2,34;2,2;2,1;2,1;2;1,9;1,8;1,7;1,6;1,6;1,7;1,9
30-34 лет;Российская Федерация;Мужчины;все население;4,29;4,53;5,5;7,04;7,76;7,44;6,69;5,91;5,84;6,54;7,02;7,05;7,27;7,5;7,78;8,2;7,82;7,4;7,31;6,82;6,81;6,4;6,1;5,9;5,7;5,1;4,6;4;3,7;3,5;3,7;3,8
30-34 лет;Российская Федерация;Мужчины;городское население;3,92;4,13;5,22;6,83;7,6;7,3;6,46;5,56;5,6;6,28;6,8;6,79;6,98;7,21;7,49;7,88;7,54;7,11;7,04;6,58;6,58;6,2;6;5,8;5,6;4,9;4,4;3,8;3,5;3,4;3,5;3,6
30-34 лет;Российская Федерация;Мужчины;сельское население;5,39;5,68;6,27;7,64;8,2;7,82;7,3;6,85;6,52;7,27;7,63;7,84;8,17;8,42;8,69;9,2;8,73;8,3;8,17;7,59;7,54;6,9;6,6;6,2;6,3;5,6;5,1;4,5;4,4;4,1;4,3;4,5
30-34 лет;Российская Федерация;Оба пола;все население;2,68;2,83;3,39;4,32;4,77;4,6;4,13;3,69;3,64;4,08;4,37;4,43;4,6;4,76;4,93;5,17;4,89;4,66;4,59;4,33;4,34;4,1;4;3,9;3,7;3,4;3,1;2,7;2,5;2,4;2,5;2,6
30-34 лет;Российская Федерация;Оба пола;городское население;2,43;2,56;3,18;4,13;4,61;4,48;3,95;3,45;3,47;3,91;4,23;4,27;4,42;4,57;4,74;4,95;4,69;4,45;4,38;4,14;4,14;4;3,8;3,8;3,6;3,2;2,9;2,5;2,3;2,2;2,3;2,4
30-34 лет;Российская Федерация;Оба пола;сельское население;3,48;3,67;4,01;4,89;5,24;4,96;4,64;4,38;4,14;4,57;4,79;4,91;5,15;5,37;5,52;5,87;5,54;5,35;5,26;4,95;4,98;4,6;4,4;4,2;4,2;3,9;3,6;3,2;3,1;3;3,1;3,3
35-39 лет;Российская Федерация;Женщины;все население;1,55;1,6;1,87;2,39;2,67;2,54;2,25;2,04;1,95;2,2;2,33;2,43;2,63;2,8;2,84;2,94;2,66;2,56;2,49;2,38;2,41;2,4;2,3;2,3;2,4;2,4;2,3;2,1;2,1;2;2,1;2,3
35-39 лет;Российская Федерация;Женщины;городское население;1,44;1,5;1,78;2,34;2,6;2,53;2,2;1,96;1,89;2,15;2,28;2,4;2,6;2,76;2,76;2,87;2,57;2,45;2,36;2,25;2,29;2,2;2,2;2,2;2,3;2,3;2,2;2,1;2;1,9;2;2,1
35-39 лет;Российская Федерация;Женщины;сельское население;1,97;1,99;2,18;2,58;2,88;2,6;2,41;2,29;2,14;2,36;2,48;2,54;2,74;2,91;3,06;3,15;2,95;2,9;2,93;2,82;2,81;2,7;2,6;2,6;2,6;2,8;2,6;2,4;2,6;2,4;2,6;3
35-39 лет;Российская Федерация;Мужчины;все население;5,57;5,93;7,1;9,47;10,8;10,15;8,72;7,74;7,47;8,38;9,12;9,42;9,87;10,19;10,2;10,3;9,12;8,46;8,24;7,67;7,93;7,7;7,5;7,5;7,8;7,3;6,9;6,1;5,9;5,6;5,9;6,1
35-39 лет;Российская Федерация;Мужчины;городское население;5,17;5,59;6,81;9,3;10,7;10,11;8,51;7,41;7,16;8,13;9;9,25;9,63;9,94;9,9;9,87;8,7;8,03;7,78;7,25;7,59;7,5;7,3;7,4;7,7;7,2;6,7;6,1;5,8;5,4;5,7;5,9
35-39 лет;Российская Федерация;Мужчины;сельское население;6,89;7,03;7,98;9,99;11,09;10,27;9,3;8,61;8,3;9,04;9,46;9,86;10,49;10,85;11;11,44;10,29;9,72;9,58;8,95;9;8,2;8;8;8,1;7,6;7,3;6,5;6,4;6;6,4;6,6
35-39 лет;Российская Федерация;Оба пола;все население;3,55;3,76;4,47;5,9;6,69;6,31;5,45;4,86;4,68;5,25;5,68;5,87;6,18;6,42;6,44;6,54;5,83;5,45;5,31;4,97;5,11;4,9;4,8;4,8;5;4,8;4,5;4,1;4;3,8;4;4,2
35-39 лет;Российская Федерация;Оба пола;городское население;3,26;3,5;4,23;5,72;6,53;6,2;5,25;4,6;4,44;5,05;5,53;5,71;5,99;6,22;6,21;6,25;5,53;5,15;4,99;4,67;4,85;4,8;4,7;4,7;4,9;4,7;4,4;4;3,8;3,6;3,8;4
35-39 лет;Российская Федерация;Оба пола;сельское население;4,58;4,66;5,25;6,5;7,22;6,64;6,04;5,61;5,37;5,84;6,1;6,32;6,72;6,96;7,1;7,36;6,67;6,35;6,29;5,91;5,92;5,5;5,3;5,3;5,4;5,2;5;4,5;4,5;4,3;4,6;4,9
40-44 лет;Российская Федерация;Женщины;все население;2,37;2,5;2,83;3,66;4,17;3,86;3,35;2,94;2,86;3,19;3,37;3,5;3,76;3,96;3,92;4,04;3,6;3,35;3,33;3,14;3,15;3;2,9;2,9;2,9;2,9;2,8;2,7;2,8;2,7;3,1;3,4
40-44 лет;Российская Федерация;Женщины;городское население;2,26;2,35;2,71;3,56;4,09;3,82;3,25;2,8;2,76;3,12;3,3;3,45;3,7;3,88;3,84;3,91;3,45;3,18;3,18;2,97;3;2,9;2,8;2,7;2,8;2,8;2,7;2,6;2,7;2,6;3;3,2
40-44 лет;Российская Федерация;Женщины;сельское население;2,84;3,13;3,3;4,08;4,45;4,03;3,69;3,45;3,17;3,44;3,59;3,63;3,96;4,18;4,16;4,41;4,04;3,84;3,74;3,64;3,6;3,3;3,2;3,2;3,2;3,3;3,1;3;3,1;3,1;3,6;4
40-44 лет;Российская Федерация;Мужчины;все население;7,66;8,04;9,85;13,49;15,37;14,29;12,36;10,72;10,34;11,64;12,7;13,13;13,93;14,44;14,22;14,35;12,45;11,39;11;9,8;9,78;9,1;8,6;8,5;8,7;8,6;8,3;7,7;7,9;7,8;8,5;9,1
40-44 лет;Российская Федерация;Мужчины;городское население;7,18;7,62;9,52;13,36;15,39;14,4;12,21;10,39;10,06;11,41;12,67;13,2;13,86;14,35;14,07;13,93;12,01;10,89;10,44;9,29;9,27;8,7;8,2;8,2;8,5;8,4;8,2;7,6;7,8;7,7;8,3;8,9
40-44 лет;Российская Федерация;Мужчины;сельское население;9,43;9,57;11,02;13,94;15,36;14;12,82;11,7;11,14;12,28;12,8;12,96;14,11;14,68;14,6;15,41;13,54;12,63;12,42;11,12;11,13;10,1;9,6;9,3;9,4;9,3;8,8;8,1;8,4;8,4;9,1;9,5
40-44 лет;Российская Федерация;Оба пола;все население;4,97;5,23;6,28;8,48;9,64;8,95;7,73;6,73;6,49;7,3;7,9;8,17;8,68;9,02;8,89;9,01;7,85;7,22;7,02;6,35;6,35;5,9;5,6;5,6;5,7;5,7;5,5;5,1;5,2;5,2;5,7;6,1
40-44 лет;Российская Федерация;Оба пола;городское население;4,65;4,9;6;8,28;9,51;8,88;7,52;6,41;6,23;7,05;7,74;8,07;8,5;8,82;8,67;8,63;7,48;6,82;6,61;5,97;5,98;5,7;5,4;5,4;5,5;5,5;5,3;5;5,1;5;5,5;5,9
40-44 лет;Российская Федерация;Оба пола;сельское население;6,27;6,49;7,34;9,24;10,15;9,23;8,45;7,75;7,32;8,04;8,38;8,47;9,21;9,58;9,51;10,02;8,86;8,29;8,12;7,4;7,39;6,7;6,4;6,2;6,3;6,3;6;5,6;5,7;5,8;6,4;6,8
45-49 лет;Российская Федерация;Женщины;все население;3,77;3,79;4,2;5,37;6,18;5,78;5,13;4,58;4,38;4,82;5,08;5,33;5,54;5,73;5,56;5,55;4,96;4,61;4,54;4,29;4,17;4;3,8;3,7;3,8;3,7;3,6;3,4;3,5;3,4;4,1;4,6
45-49 лет;Российская Федерация;Женщины;городское население;3,59;3,56;4,04;5,24;6,1;5,74;5;4,38;4,23;4,68;4,95;5,22;5,44;5,58;5,4;5,31;4,71;4,4;4,31;4,1;3,97;3,8;3,7;3,6;3,7;3,6;3,5;3,3;3,4;3,4;4;4,4
45-49 лет;Российская Федерация;Женщины;сельское население;4,39;4,61;4,85;5,95;6,51;5,99;5,64;5,31;4,94;5,34;5,54;5,68;5,9;6,23;6,05;6,28;5,68;5,25;5,21;4,85;4,77;4,5;4,3;4,1;4;4;3,9;3,6;3,8;3,7;4,5;5,1
45-49 лет;Российская Федерация;Мужчины;все население;11,71;11,62;13,52;17,95;21,02;19,54;17,19;14,8;14,46;16,31;17,86;18,67;19,55;20,05;19,5;19,39;16,67;15,29;14,84;13,57;13,35;12,5;11,7;11,2;11,2;10,8;10,3;9,4;9,6;9,5;10,7;11,7
45-49 лет;Российская Федерация;Мужчины;городское население;11,06;11,08;13,15;17,76;20,98;19,62;16,91;14,3;14,11;16,09;17,83;18,83;19,56;19,98;19,37;18,91;16,13;14,74;14,24;12,98;12,74;12;11,3;10,8;10,9;10,5;10;9,2;9,3;9,3;10,6;11,6
45-49 лет;Российская Федерация;Мужчины;сельское население;13,81;13,55;14,91;18,75;21,25;19,33;18,19;16,43;15,57;16,99;17,96;18,24;19,56;20,24;19,83;20,6;17,98;16,65;16,3;14,99;14,86;13,6;12,6;12,1;11,9;11,7;11,1;10,1;10,3;10,1;11,3;12
45-49 лет;Российская Федерация;Оба пола;все население;7,55;7,54;8,69;11,44;13,31;12,38;10,9;9,46;9,2;10,3;11,15;11,64;12,15;12,47;12,11;12,06;10,47;9,64;9,39;8,67;8,5;8;7,5;7,3;7,3;7,1;6,8;6,3;6,4;6,4;7,3;8
45-49 лет;Российская Федерация;Оба пола;городское население;7,13;7,14;8,4;11,21;13,15;12,29;10,6;9,04;8,86;10;10,93;11,51;11,93;12,18;11,79;11,52;9,94;9,13;8,86;8,18;8,01;7,6;7,2;7;7;6,8;6,6;6,1;6,2;6,2;7,1;7,8
45-49 лет;Российская Федерация;Оба пола;сельское население;8,95;8,99;9,85;12,4;13,99;12,78;12,04;10,98;10,37;11,28;11,87;12,07;12,85;13,34;13,04;13,53;11,91;11,01;10,8;9,95;9,83;9,1;8,4;8,1;7,9;7,8;7,5;6,8;7;6,9;7,8;8,5
50-54 лет;Российская Федерация;Женщины;все население;5,39;5,47;6,09;7,87;8,96;8,49;7,51;6,67;6,37;7,16;7,59;8,01;8,3;8,62;8,19;8,07;7,15;6,58;6,44;6,14;5,93;5,6;5,3;5,1;5,1;5;4,9;4,5;4,6;4,6;5,5;6,3
50-54 лет;Российская Федерация;Женщины;городское население;5,19;5,29;5,93;7,68;8,87;8,41;7,31;6,4;6,14;6,95;7,42;7,83;8,09;8,35;7,86;7,69;6,8;6,29;6,12;5,81;5,64;5,4;5,1;4,9;4,9;4,8;4,7;4,4;4,4;4,5;5,3;6,1
50-54 лет;Российская Федерация;Женщины;сельское население;5,96;6,03;6,6;8,42;9,25;8,75;8,21;7,67;7,24;7,97;8,27;8,67;9,06;9,6;9,32;9,31;8,26;7,48;7,44;7,12;6,79;6,3;5,9;5,6;5,7;5,6;5,3;4,9;4,9;5;6;6,8
50-54 лет;Российская Федерация;Мужчины;все население;16,11;16,55;19,5;25,48;29,35;27,49;23,84;20,39;19,57;22,33;24,42;25,73;26,91;27,87;26,66;26,69;23,37;21,11;20,72;19,27;18,57;17,1;16,2;15,5;15,3;15;14,6;13,4;13,4;13;14,6;15,4
50-54 лет;Российская Федерация;Мужчины;городское население;15,54;15,94;19,14;25,27;29,5;27,77;23,63;19,86;19,12;22,04;24,38;25,85;26,99;27,75;26,45;26,14;22,81;20,5;19,97;18,59;17,91;16,7;15,8;15,1;15;14,7;14,3;13,1;13,2;12,8;14,4;15,2
50-54 лет;Российская Федерация;Мужчины;сельское население;17,68;18,27;20,53;26,1;28,98;26,7;24,61;22,27;21,21;23,36;24,61;25,4;26,71;28,26;27,28;28,22;24,84;22,66;22,58;20,92;20,15;18,1;17,1;16,5;16;15,7;15,4;14;14,1;13,6;15,1;15,9
50-54 лет;Российская Федерация;Оба пола;все население;10,36;10,59;12,27;15,96;18,31;17,21;15,03;13,03;12,51;14,2;15,38;16,19;16,85;17,43;16,61;16,53;14,49;13,16;12,91;12,1;11,69;10,9;10,3;9,9;9,8;9,6;9,4;8,6;8,7;8,5;9,7;10,5
50-54 лет;Российская Федерация;Оба пола;городское население;9,94;10,17;11,97;15,7;18,26;17,23;14,77;12,59;12,1;13,85;15,13;15,98;16,59;17,02;16,13;15,84;13,85;12,54;12,21;11,44;11,06;10,4;9,9;9,4;9,5;9,3;9;8,3;8,4;8,3;9,5;10,3
50-54 лет;Российская Федерация;Оба пола;сельское население;11,53;11,82;13,16;16,71;18,48;17,16;15,96;14,67;14,02;15,5;16,29;16,91;17,76;18,78;18,14;18,57;16,36;14,91;14,86;13,89;13,36;12,1;11,4;11;10,7;10,5;10,2;9,3;9,4;9,2;10,4;11,2
55-59 лет;Российская Федерация;Женщины;все население;8,62;8,62;9,11;10,94;12,29;11,46;10,61;10,09;9,92;10,64;11,38;11,64;11,96;12,08;11,78;11,65;10,59;9,71;9,87;9,22;9,13;8,4;8;7,7;7,6;7,4;7,2;6,8;6,8;6,7;8;9,8
