Возраст матери;Субъект;Тип;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
30-34 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;59,9;71,2;69,8;69,4;87;77,2;74,2;64,6;79,1;60,7;84,7;54,3;66,1;99,9;76;62,8;93,9;123,3;94,8;113,3;88,8;120,9;149,8;128;208,3;224,2;241,6;253,9;328,2
35-39 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;17,1;21,1;20,3;18,5;20,7;24,8;21,3;20,1;28,7;20,9;27,1;19,3;35;31,6;24,6;36,5;27,4;40,1;41;35,4;49,1;53,5;51,4;55,6;53,1;45,6;50,4;52,5;53,7
35-39 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;9;12,8;13;13;14,9;15,6;10,8;11,4;22,2;19,9;21,3;22,4;23,5;28,2;21,9;30;25,1;36,6;42,5;30;46,1;49,5;49,8;52,9;49;46;48,2;47,4;46,1
35-39 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;35;38,4;34,5;29;32,1;42,4;41,1;36,3;40,6;22,6;37,1;13,9;56,7;38,6;30,6;51,5;33,3;49,1;36,5;53,4;60,6;69,7;58,6;67,4;72;43,3;62,8;83,2;104,6
40-44 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;2,9;2,9;3,5;4,6;6,7;5,2;8,3;4,7;5,8;3,7;4,9;5;5,8;7,7;2,5;6,2;8,7;8,1;7,4;14,6;4,9;8,8;12;15,2;9,6;11,6;6,5;10,2;15,5
40-44 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;1,3;0;1,4;1,5;5,2;1,5;3,1;1,6;4;2,4;5,8;6;6,2;8,3;3;5,3;8,8;6,6;5,4;13,5;6,9;11,2;11,5;15,4;8,1;12,1;6,4;8,9;14
40-44 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;7;10,6;8,5;11,6;9,9;12,9;18,7;10,6;9;6,2;3,2;3,2;5;6,8;1,8;7,9;8,4;11;12;17,2;0;2,5;13,4;14,3;15,2;9,5;6,6;16,4;22,6
45-49 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;1,8;0,8;0;0;0;0;0,6;0,6;0;0,6;0,5;0;0;0,5;0;0,6;0,6;0,6;0,6;0;0;0,7;0;0;0,7;0,7;0,7;2;0,7
45-49 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;1,3;0;0;0;0;0;0;0,8;0;0,8;0,8;0;0;0,8;0;0,8;0,9;0,9;0;0;0;1,1;0;0;1;1;0,9;1,8;0,9
45-49 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;3,1;2,8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1,7;0;0;0;0;0;0;0;0;2,8;0
50-54 лет;            Ненецкий автономный округ (Архангельская область);все население;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0,6;0;0;0;0;0
50-54 лет;            Ненецкий автономный округ (Архангельская область);городское население;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;            Ненецкий автономный округ (Архангельская область);сельское население;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6;0;0;1,8;0;0;0;0;0
15-19 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;29,8;33,2;32;33,3;30,6;25,6;22,7;20,1;17,6;16,6;15,9
15-19 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;18,4;21,2;21,4;23,1;22,9;19,8;19,4;16,1;13,6;13,9;13,6
15-19 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;50,7;53,8;49,7;50,1;43;35;28,2;27;24,7;21,4;20
20-24 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;96,5;99,3;98,4;98,4;99,9;95,3;95,7;92,2;87,3;87,5;84,7
20-24 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;72,5;71,6;68,9;71,4;77,9;77,5;91,1;89,9;88;87,7;88,1
20-24 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;152,6;174,5;187,3;179,3;159,8;138,1;105,1;96,5;85,9;87,1;78,4
25-29 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;117,3;122,2;122,8;129,3;131;123,8;114;109,5;102,9;106,8;111,6
25-29 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;110;114,8;110,7;119,2;121,1;112,8;108,3;102,3;98;102,2;112,8
25-29 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;132,6;138,5;152,5;156,7;160;159,2;134;136,6;120,8;122,1;108,1
30-34 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;82,7;92;90,5;96,4;97,5;98,8;88,6;90,1;84;83,2;82,8
30-34 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;83,9;91,6;87,9;96,3;97,1;97,4;91,7;90,6;83,8;80,7;78,4
30-34 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;80,5;93;96,2;96,7;98,5;102,7;79,7;88,5;85;91,8;99,5
35-39 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;38,8;41,7;43,8;47,5;47,3;49,3;45,7;48,3;46,6;46,6;47,4
35-39 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;40;41,4;42,9;48,3;48,7;50,3;47,7;49,4;47,4;45,8;46,2
35-39 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;36,7;42,3;45,5;45,8;44,4;47,1;41,1;45,6;44,5;48,9;51,1
40-44 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;8,1;8,3;9,2;10,6;10;10,7;10,5;10,8;11,3;11;11,4
40-44 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;8,4;8,1;9,6;10,8;10,2;10,7;11;11,1;12,1;11,2;11,6
40-44 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;7,6;8,6;8,7;10,4;9,6;10,7;9,7;10,1;9,4;10,5;11
45-49 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;0,2;0,4;0,5;0,3;0,3;0,6;0,5;0,6;0,5;0,6;0,4
45-49 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;0,2;0,4;0,4;0,4;0,3;0,6;0,6;0,7;0,6;0,8;0,5
45-49 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;0,2;0,4;0,6;0,2;0,4;0,6;0,4;0,5;0,3;0,2;0,2
50-54 лет;            Тюменская область (без АО);все население;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0,1;0;0
50-54 лет;            Тюменская область (без АО);городское население;;;;;;;;;;;;;;;;;;;;;;0;0,1;0;0;0,1;0;0;0,1;0,1;0;0,1
50-54 лет;            Тюменская область (без АО);сельское население;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0,1;0,1;0
15-19 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;50,1;50,7;45,2;40,1;38,6;36,3;31,3;31,7;33,4;34,1;32,8;30;29,2;28,9;30,4;30,8;31,2;30,6;29,2;28,7;27,3;25,7;24,1;20,8;16,1;13;12,8;10,8;9,7
15-19 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;47,6;49;43,2;38,3;37;34,7;29,7;30,2;31,5;32,9;31,3;28,7;28;27,5;28,7;29,4;29,3;29;27;27,2;25,6;24,7;23,1;20,2;14,9;12,1;12,3;10,5;9,2
15-19 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;81,5;70,8;69,5;61;55,9;54,4;49;48,7;54,5;47,9;48,7;43,4;41,2;42,5;47,8;45,3;50,7;47,5;52,4;45,1;46;37;35,9;28,6;30,8;23,6;18,1;14,6;16
20-24 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;153,5;147,8;126,2;113,8;104,4;104,3;95,1;98,3;103,8;110,6;111,8;112;104,5;102;98,4;100,4;98,9;101,9;106,4;119,1;121,9;125,1;117,6;109,6;95,7;93,3;87,7;83,7;76,4
20-24 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;146,7;146,2;123,7;112,4;102,9;102,7;93,6;96,8;101,9;108,7;110;110,4;102,8;100;96,5;98,8;97,2;100,1;104,2;116,6;118,7;122,1;115,1;107,3;95,1;92,4;87,3;82,7;76
20-24 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;245,9;168,2;155,9;129,6;120,7;122,4;112,2;116,1;126,4;133,3;133,1;130;123,7;124,6;119,1;118,1;117,8;122,7;132,7;149,7;163;164,9;150,9;138,7;102,1;104,6;92,7;95,6;80,9
25-29 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;63,3;71,1;73,1;74,4;74,1;78,2;75,3;76,9;79,6;87,9;90,6;91,4;90,2;91,9;100,5;104,1;108,9;113,3;113;123,7;125,2;127,5;132;132,3;127,3;128;117,6;118,9;116,7
25-29 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;61,7;69,8;71,1;73,6;73,1;78,1;74,7;76,2;79,4;87,8;91;91;90,4;92,1;100,9;104,4;109,4;113;112,1;122,3;125,1;126,8;130,5;131,2;126,8;126,3;117,3;118,4;117,3
25-29 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;85,9;88,1;98;84,3;84,8;78,5;81,8;83,9;82,4;88,1;85,3;96;87,6;90;95,9;100,5;102,5;117;124,8;143,3;127;136,4;155;148,3;134,7;153,1;121,9;126,7;108
30-34 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;29,1;29,8;29,1;31,3;34,1;39,5;38,5;42,9;48,3;52;53,5;55,8;55,5;57,9;64,7;70,1;73,1;78,3;78,7;86,4;89,7;90,2;90,2;89,2;83,4;86,3;80,9;86,2;87,6
30-34 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;28,5;29,2;28,1;31,2;34;39,6;38,1;42,4;48,1;51,8;54,2;55,9;56,1;58,2;64,5;71,1;73,3;78,3;78,8;86,4;89,9;90,3;90;88,5;82,5;85,5;80,2;85,2;87
30-34 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;36,9;38;41,2;32,4;35,4;37,8;43;48,8;50;54,4;46,2;54,7;48,8;55,1;67,2;57,9;70,7;78,4;76,9;85,8;86;88,8;93,2;101,3;96,3;99;93,1;101,8;97,3
35-39 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;11,1;11,5;10,7;11,8;11,9;13,2;12,6;13,1;16,3;18;19;21;21;21,8;26,4;29,4;30,4;35,3;36,1;40,7;40,1;42,8;42,1;42,2;42,2;41,8;43,1;45,4;44
35-39 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;10,7;11,3;10,3;11,5;12,1;13;12,5;13,2;16,1;18;18,8;21;20,8;21,9;26,5;29,6;30,7;35,2;36;40,8;39,9;42,7;42,1;42;42,3;42,3;42,6;45,4;43,4
35-39 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;17,1;15,1;15,3;15,5;9,6;16,1;13,5;11,5;19,1;18,3;21,1;21;23,3;21,4;25,7;26,5;27,5;36,1;36,8;38,9;42,9;44,3;41,9;44,4;39,9;34,1;50,7;45,5;54,1
40-44 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;2,1;1,8;2,3;2,3;1,9;2,3;2,4;2,8;2,5;3,2;3,2;3,2;3,2;3,4;4;5,4;5,2;6,3;6,6;7,5;7,7;8,8;8,9;8,8;9,1;9,5;9,1;9,9;10,5
40-44 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;2;1,7;2,2;2,2;1,9;2,4;2,4;2,8;2,5;3;3,2;3,1;3,1;3,3;3,8;5,2;5,1;6,4;6,5;7,1;7,5;8,8;8,9;8,9;9;9,4;9,2;9,9;10,4
40-44 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;4,7;2,8;3,3;3,4;2;2,1;2,7;3,4;2,9;4,9;3,2;3,7;4,7;4,4;6,7;7,7;6;5,2;7,8;12,3;9,1;8,8;9,8;8,2;10,7;11,5;7,9;10,1;11,7
45-49 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;0,1;0;0,1;0,1;0,2;0,1;0;0,1;0,1;0,2;0,2;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,4;0,3;0,3;0,5;0,4;0,6;0,5;0,5;0,5
45-49 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;0,1;0;0,1;0;0,2;0,1;0;0,1;0,1;0,2;0,2;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,4;0,3;0,3;0,5;0,5;0,6;0,5;0,6;0,5
45-49 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;0;0;0,4;0,3;0,3;0,2;0;0,6;0,2;0,2;0;0;1;0;0,2;0,3;0;0,2;0,2;0,2;0,2;0,7;0,4;0,2;0;0,4;0,2;0;0,5
50-54 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);все население;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0
50-54 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);городское население;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0
50-54 лет;            Ханты-Мансийский автономный округ - Югра (Тюменская область);сельское население;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-19 лет;            Ямало-Ненецкий автономный округ (Тюменская область);все население;;;;49,6;52,2;44,4;39,3;39,5;35,8;33,7;31;35,2;32,6;32,4;28,7;28,3;27,1;31,4;29,5;31,3;28,3;29;29;26,2;25,7;26,1;20,8;19,2;15,9;12,6;13,7;13,2
15-19 лет;            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;46,6;50,6;43,2;37,5;37,6;33,6;30,7;28;31,5;29,2;29,5;25,7;24,9;21,5;25,3;22,7;25;23,1;23,5;23;21;18,6;19,2;15,1;13,2;11,2;8,5;8,6;8,9
15-19 лет;            Ямало-Ненецкий автономный округ (Тюменская область);сельское население;;;;65,3;60;50;47,8;48,7;46,8;48,9;46,7;54,5;50,6;46,4;44,1;46,2;55,7;61,1;61,5;60,3;51;53,1;54,8;48,1;55,3;53,6;42,6;41,6;33,6;28,7;33,9;31,7
20-24 лет;            Ямало-Ненецкий автономный округ (Тюменская область);все население;;;;150,8;148,5;135,1;116,8;108,3;108,2;104,2;98,3;105,7;111,3;121,2;122;108,1;97,9;97,8;98,8;101,3;103;113,6;135,9;141,9;146,5;133,1;114,3;97,2;86,7;82,3;82,6;79,8
20-24 лет;            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;143;136,9;125,1;109,3;103,2;102,2;99,6;92,3;98,5;104,7;116,4;112,6;101,8;90,3;88,6;87,1;89,5;90,7;99,7;119;121,6;129,9;114,4;99,9;84,9;75,5;71,2;73,7;68,5
20-24 лет;            Ямало-Ненецкий автономный округ (Тюменская область);сельское население;;;;194,4;219,1;195,5;161,6;138;142,3;130;131;145,1;147,1;147;174,2;144,4;142,2;150,9;165,1;167,5;169,6;189,8;227,6;246,1;226,4;216,6;174,1;146,1;130,6;125,5;117;126,5
25-29 лет;            Ямало-Ненецкий автономный округ (Тюменская область);все население;;;;73,9;85,2;91,3;86,1;85,1;87,5;80,2;75,7;82,4;83,4;93;90,8;91,1;89;97,5;99,6;107,5;111,3;108;113,7;120,7;127,4;135,4;140,1;139,1;141,2;131,8;133,9;125,8
25-29 лет;            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;67,3;74,5;81,3;78,3;77,2;79,7;74,1;70,1;76,8;78;89,9;87,3;87,7;85,1;92,3;94;99,8;105,6;104,1;110,8;113,9;120,7;128;131,6;130;131,5;119,8;124,8;115
25-29 лет;            Ямало-Ненецкий автономный округ (Тюменская область);сельское население;;;;106,9;140,1;144,8;129,9;131,8;134,7;116,6;109,3;115,8;115,2;111,2;112,5;113,4;114,6;131,5;136,1;157,1;148;133,6;132,2;162,1;168,8;180,6;191,3;193,6;197,7;198,5;182;183,6
30-34 лет;            Ямало-Ненецкий автономный округ (Тюменская область);все население;;;;33,3;38,7;39,1;41,9;42,9;46,9;46,1;47;51,5;52,9;53,6;58;59,6;56,8;64,2;68,1;71,5;74,7;71,5;82,6;77,3;83,4;88,8;84,9;78,4;80,2;84,8;91,1;99,8
30-34 лет;            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;30;33,8;34,3;37,1;37,6;41,2;40,6;40,9;47,6;50,7;49,9;54,3;56,8;53,8;60,7;64,3;67,4;72,5;68,4;80,2;74,5;81,4;86,7;83,9;74,6;77,4;79,2;87,5;93,6
30-34 лет;            Ямало-Ненецкий автономный округ (Тюменская область);сельское население;;;;51,4;65,1;65,3;68,2;71,5;77,5;75,5;79,8;73,1;65,5;74,9;81,9;78,5;77,1;88,3;94,3;100,5;90,5;94,5;98,8;95,1;96,3;102,8;90,9;104,4;100,1;124,1;116,5;145,2
35-39 лет;            Ямало-Ненецкий автономный округ (Тюменская область);все население;;;;12,9;13,7;14,6;16,5;15,6;17,4;16,4;17,5;19,3;21;22;22,8;22,9;24,8;28,8;30,4;31,8;31,9;34,4;39,8;40,4;43,8;39,1;39,8;40,3;41,7;40,1;44,6;43,6
35-39 лет;            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;10,2;10,4;11,5;13,3;13;14,5;13,2;14,1;15,3;18,2;18,4;19,7;20,2;21,7;25,7;27,4;29,1;29,7;33,3;39;38,5;41,1;36,9;37,2;38,2;39;38;41,9;41,7
35-39 лет;            Ямало-Ненецкий автономный округ (Тюменская область);сельское население;;;;28,4;32,2;32,1;34,8;30,6;34,1;35,2;36,8;41,5;37;42;40,2;39,6;44,2;49;50,6;50,4;47,1;42,6;45,3;52,9;61,9;53,5;57,4;54,9;60,3;54,1;62,6;58
40-44 лет;            Ямало-Ненецкий автономный округ (Тюменская область);все население;;;;4,1;3,4;3,3;4,3;3,3;3,8;4,4;4,3;3,8;4,4;4,1;3,9;4;5,3;4,3;6;6,7;6,7;6,6;7,3;9,2;8,7;9,8;8,5;8,9;9,4;9,5;10,2;10,5
40-44 лет;            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;2,3;2,3;2,3;2,7;2,1;2,5;2,9;2,8;2,9;3,4;2,7;2,7;2,9;3,8;3,2;4,9;5,4;5,7;5,4;6,7;8;7,6;9,1;7,6;8,1;8,5;8,6;9,2;9,8
40-44 лет;            Ямало-Ненецкий автономный округ (Тюменская область);сельское население;;;;15,5;10,3;9,7;13,6;10,5;11,2;13,1;13,3;9,2;10,3;12,7;11,9;11,4;15,5;11,6;13,2;14,5;13,2;14,3;11,5;16,4;15,4;14,2;14,4;14;15,2;16;17,5;15,7
45-49 лет;            Ямало-Ненецкий автономный округ (Тюменская область);все население;;;;0,5;0,2;0,3;0,2;0,4;0,3;0,2;0,3;0,2;0,2;0,1;0,3;0,2;0,1;0,3;0,2;0,1;0,1;0,2;0,4;0,3;0,1;0,4;0,3;0,3;0,6;0,4;0,6;0,5
45-49 лет;            Ямало-Ненецкий автономный округ (Тюменская область);городское население;;;;0,2;0,2;0,1;0,1;0,3;0,2;0,1;0,1;0;0;0;0,2;0;0,1;0,2;0,2;0,1;0;0,1;0,4;0,2;0,1;0,3;0,3;0,2;0,6;0,4;0,5;0,5
